DS 6012: Big Data Ethics Part 2,Unnamed: 1
,
MNEMONIC,LEARNING OUTCOME
ds6012,Identify situations that demand ethical responses involving data science
ds6012,Develop the skills to respond creatively to critical ethics issues in data science
